ISO,COD-UID,contributor,error,resource name,pcode headers,name headers,total pop header,duplicates,blanks
BLZ,cod-ps-blz,OCHA Latin America and the Caribbean (ROLAC),,blz_adm2_pop_v2.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES, ADM2_ES",T_TL,,
BMU,cod-ps-bmu,UNFPA,No csv resources found,,,,,,
BOL,cod-ps-bol,UNFPA,,bol_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_EN,T_TL,,
BOL,cod-ps-bol,UNFPA,,bol_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_ES",T_TL,,
BRA,cod-ps-bra,UNFPA,,bra_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_PT,T_TL,,
BRA,cod-ps-bra,UNFPA,,bra_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_PT, ADM1_PT",T_TL,,
BRB,cod-ps-brb,OCHA Latin America and the Caribbean (ROLAC),,brb_admpop_adm0_2010_v2.csv,ADM0_PCODE,NAME_0,T_TL,,
BRB,cod-ps-brb,OCHA Latin America and the Caribbean (ROLAC),,brb_admpop_adm1_2010_v2.csv,"ADM0_PCODE, ADM1_PCODE","NAME_1, NAME_0",T_TL,,
BTN,cod-ps-btn,UNFPA,,btn_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_NAME,T_TL,,
BTN,cod-ps-btn,UNFPA,,btn_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_NAME, ADM1_NAME",T_TL,,
BWA,cod-ps-bwa,UNFPA,,bwa_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_NAME,T_TL,,
BWA,cod-ps-bwa,UNFPA,,bwa_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_NAME, ADM1_NAME",T_TL,,
BWA,cod-ps-bwa,UNFPA,,bwa_admpop_adm2_2022.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_NAME, ADM1_NAME, ADM2_NAME",T_TL,,
BWA,cod-ps-bwa,UNFPA,,bwa_admpop_adm3_2022.csv,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_NAME, ADM3_NAME, ADM1_NAME, ADM2_NAME",T_TL,,
CAF,cod-ps-caf,OCHA Central African Republic,,caf_admpop_adm1_2015_v2.csv,Adm1_pcode,Adm1_name,T_TL,,
CAF,cod-ps-caf,OCHA Central African Republic,,caf_admpop_adm2_2015_v2.csv,"Adm2_Pcode, Adm1_Pcode","Adm1_name, Adm2_name",T_TL,,
CAF,cod-ps-caf,OCHA Central African Republic,,caf_admpop_adm3_2015_v2.csv,"Adm1_pcode, Adm3_pcode, Adm2_pcode","Adm2_name2, Adm1_name, Adm2_name",T_TL,,
CHL,cod-ps-chl,UNFPA,,chl_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_ES,T_TL,,
CHL,cod-ps-chl,UNFPA,,chl_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES",T_TL,,
CHL,cod-ps-chl,UNFPA,,chl_admpop_adm2_2022.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES, ADM2_ES",T_TL,,
CHL,cod-ps-chl,UNFPA,,chl_admpop_adm3_2022.csv,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES, ADM3_ES, ADM2_ES",T_TL,,
CIV,cod-ps-civ,OCHA West and Central Africa (ROWCA),,civ_admpop_adm0_v2.csv,ADM0_PCODE,"ADM0_EN, ADM0_FR",T_TL,,
CIV,cod-ps-civ,OCHA West and Central Africa (ROWCA),,civ_admpop_adm1_v2.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_FR, ADM0_FR",T_TL,,
CIV,cod-ps-civ,OCHA West and Central Africa (ROWCA),,civ_admpop_adm2_v2.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM2_FR, ADM0_EN, ADM1_FR, ADM0_FR",T_TL,,
CIV,cod-ps-civ,OCHA West and Central Africa (ROWCA),,civ_admpop_adm3_v2.csv,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM1_FR, ADM0_FR, ADM0_EN, ADM3_FR, ADM2_FR",T_TL,,
CMR,cod-ps-cmr,UNFPA,,cmr_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_NAME,T_TL,,
CMR,cod-ps-cmr,UNFPA,,cmr_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_NAME, ADM1_NAME",T_TL,,
COD,cod-ps-cod,OCHA Democratic Republic of the Congo (DRC),,cod_admpop_adm0_2020.csv,admin0Pcode,"admin0Name_fr, admin0RefName",T_TL,,
COD,cod-ps-cod,OCHA Democratic Republic of the Congo (DRC),,cod_admpop_adm0_2019.csv,admin0Pcode,"admin0Name_fr, admin0RefName",T_TL,,
COD,cod-ps-cod,OCHA Democratic Republic of the Congo (DRC),,cod_admpop_adm1_2020.csv,"admin1Pcode, admin0Pcode","admin0Name_fr, admin1RefName, admin1AltName2_fr, admin1Name_fr, admin1AltName1_fr",T_TL,,
COD,cod-ps-cod,OCHA Democratic Republic of the Congo (DRC),,cod_admpop_adm1_2019.csv,"admin1Pcode, admin0Pcode","admin0Name_fr, admin1RefName, admin1AltName2_fr, admin1Name_fr, admin1AltName1_fr",T_TL,,
COD,cod-ps-cod,OCHA Democratic Republic of the Congo (DRC),,cod_admpop_adm2_2020.csv,"admin1Pcode, admin2Pcode","admin2Name_fr, admin1Name_fr, admin0Name_fr",T_TL,,
COD,cod-ps-cod,OCHA Democratic Republic of the Congo (DRC),,cod_admpop_adm2_2019.csv,"admin1Pcode, admin2Pcode","admin2Name_fr, admin1Name_fr, admin0Name_fr",T_TL,,
COL,cod-ps-col,UNFPA,,col_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_ES,T_TL,,
COL,cod-ps-col,UNFPA,,col_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES",T_TL,,
COL,cod-ps-col,UNFPA,,col_admpop_adm2_2022.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES, ADM2_ES",T_TL,,
COM,cod-ps-com,UNFPA,,com_admpop_adm0_2017.csv,ADM0_PCODE,ADM0_NAME,T_TL,,
COM,cod-ps-com,UNFPA,,com_admpop_adm1_2017.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_NAME, ADM1_NAME",T_TL,,ADM0_PCODE
CPV,cod-ps-cpv,UNFPA,,cpv_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_PT,T_TL,,
CPV,cod-ps-cpv,UNFPA,,cpv_admpop_adm1_2022.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_PT, ADM1_PT",T_TL,,
CPV,cod-ps-cpv,UNFPA,,cpv_admpop_islands_2022.csv,ADM0_PCODE,ADM0_PT,T_TL,,
CRI,cod-ps-cri,UNFPA,,cri_admpop_adm0_unfpa2021.csv,ADM0_PCODE,ADM0_ES,T_TL,,
CRI,cod-ps-cri,UNFPA,,cri_admpop_adm1_unfpa2021.csv,"ADM0_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES",T_TL,,
CRI,cod-ps-cri,UNFPA,,cri_admpop_adm2_unfpa2021.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES, ADM2_ES",T_TL,,
CRI,cod-ps-cri,UNFPA,,cri_admpop_adm3_unfpa2021.csv,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES, ADM3_ES, ADM2_ES",T_TL,,
CUB,cod-ps-cub,UNFPA,,cub_admpop_adm0_2020.csv,ADM0_PCODE,ADM0_ES,T_TL,,
CUB,cod-ps-cub,UNFPA,,cub_admpop_adm1_2020.csv,"ADM0_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES",T_TL,,
CUB,cod-ps-cub,UNFPA,Could not read resource,cub_admpop_adm2_2020.csv,,,,,
CUW,cod-ps-cuw,UNFPA,No csv resources found,,,,,,
CYM,cod-ps-cym,OCHA Latin America and the Caribbean (ROLAC),,cym_admpop_adm0_2010_v2.csv,ADM0_PCODE,NAME_0,T_TL,,
CYM,cod-ps-cym,OCHA Latin America and the Caribbean (ROLAC),,cym_admpop_adm1_2010_v2.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, NAME_1",T_TL,,
DJI,cod-ps-dji,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,dji_admpop_adm0_2009.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_EN",T_TL,,
DJI,cod-ps-dji,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,dji_admpop_adm1_2009.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_EN",T_TL,,
DMA,cod-ps-dma,OCHA Field Information Services Section (FISS),,dma_census_2011_v5.csv,"adm0code, adm1code","adm0_en, adm1_en",T_TL,,
DMA,cod-ps-dma,OCHA Field Information Services Section (FISS),,dmn_pop_adm1_2011_v3.csv,"adm0code, adm1code","adm0_en, adm1_en",T_TL,,
DMA,cod-ps-dma,OCHA Field Information Services Section (FISS),,dmn_pop_adm1_2011_v2.csv,"adm0code, adm1code","adm0_en, adm1_en",T_TL,,
DOM,cod-ps-dom,UNFPA,,dom_admpop_adm0_2020.csv,ADM0_PCODE,ADM0_ES,T_TL,,
DOM,cod-ps-dom,UNFPA,,dom_admpop_adm1_2020.csv,"ADM0_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES",T_TL,,
DOM,cod-ps-dom,UNFPA,,dom_admpop_adm2_2020.csv,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES, ADM2_ES",T_TL,,
DOM,cod-ps-dom,UNFPA,,dom_admpop_adm3_2020.csv,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM1_ES, ADM2_EN, ADM0_ES, ADM3_EN",T_TL,,
ECU,cod-ps-ecu,UNFPA,,ecu_admpop_adm0_2020.csv,ADM0_PCODE,ADM0_EN,T_TL,,
ECU,cod-ps-ecu,UNFPA,,ecu_admpop_adm1_2020.csv,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_EN",T_TL,,
